Rep,Trt,Plot,TRT_COMBO,BGROUND,CAEX14,ERCI6,LAOC3,LASE,MADIA,MADIA2,NABR,SIAL2,TRDU,UnkCrepis,UnkThistle,BRJA,BRTE,ACMI2,AGGL,ALLIUM,AMSIN,ANLU2,ARSO2,ASTRA,BASA3,CHDO,CHJU,CIAR4,CIUN,CRAC2,CROC,ERBL,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,PHHA,PHLO2,SEIN2,ZIPA2,ACNE9,ACTH7,CADO2,DAUN,ELEL5,LECI4,MEBU,POBU,POSE,PSSP6,UnkPoa,ARAR8,ARTRV,CHVI8,ERNA10,PUTR2,TETRA3,UnkSage,UNK1,UNK5
4,14,405,AIR_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,38,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
1,15,106,AIR_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0
2,15,206,AIR_INDAZ_IMAZ_1,38,0,0,0,0,5,0,0,0,18,5,0,0,5,0,0,0,0,0,18,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0
3,15,306,AIR_INDAZ_IMAZ_1,,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0
4,15,406,AIR_INDAZ_IMAZ_1,,0,0,0,0,5,0,0,0,5,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,38,5,0,5,0,0,0,0,0,0,0,0
1,16,107,AIR_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,18,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,38,0,0,18,0,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0
2,16,207,AIR_INDAZ_IMAZ_1,5,0,0,0,0,0,0,0,0,18,0,5,5,5,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0
3,16,307,AIR_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,18,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0
4,16,407,AIR_INDAZ_IMAZ_1,38,0,0,0,0,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,0,5,0
1,17,108,AIR_INDAZ_IMAZ_2,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,5,0,5,0,0,0,0,5,0,0,5,0,0,0,18,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
2,17,208,AIR_INDAZ_IMAZ_2,38,0,0,0,0,0,0,0,0,18,0,0,5,5,0,0,0,0,0,18,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,18,18,0,0,5,0,0,0,0,0,0,0
